-9,-9,-3,-11,-3,0,-8,-7,-6,-3,2,-7,-11,-9
14,-12,-6,4,1,-14,0,10,13,-11,-14,-1,2,13
-13,-12,8,5,0,-13,9,7,-13,-9,-12,-5,7,2
-5,-7,-7,3,-5,-8,-5,-8,6,8,3,0,1,7
2,3,-2,1,-2,-3,-7,0,3,0,-2,2,-7,-1
-2,-5,7,-7,-7,5,8,-5,6,1,2,-3,-6,6
3,10,0,6,1,7,1,4,-1,-6,6,9,8,-3
4,-5,2,13,13,10,16,-5,-4,-3,5,-5,8,6
6,-2,-6,-2,-4,-2,5,6,-2,5,-4,-3,9,4
-2,13,16,-3,16,19,15,-4,16,16,11,2,-4,-1
0,-3,7,-7,-1,2,4,6,3,9,6,5,11,0
-8,21,11,3,-4,19,-5,9,14,2,8,14,-2,-4
23,1,4,15,15,19,6,12,11,10,14,1,16,20
7,12,1,4,1,2,4,3,-5,-4,15,2,-4,6
3,15,7,6,12,9,11,14,13,3,10,16,14,16
10,5,7,13,15,12,4,15,7,9,6,12,2,11
9,5,12,8,14,5,14,11,12,5,4,4,12,9
1,5,6,7,10,13,2,2,14,14,12,6,11,13
5,6,5,24,10,8,11,21,21,19,13,20,2,9
11,2,25,24,22,24,6,5,21,14,19,2,7,5
8,22,10,4,23,19,6,3,15,21,9,12,16,4
19,22,20,20,7,17,14,12,15,5,8,21,14,15
27,14,27,23,23,12,19,26,14,22,22,19,27,14
10,13,10,22,24,28,3,6,18,14,18,16,32,9
12,23,11,10,16,17,13,21,18,16,12,16,13,13
31,11,23,25,14,11,8,16,10,31,18,25,10,12
25,30,26,27,18,25,22,14,19,17,20,29,31,25
31,25,16,17,20,30,14,10,18,18,24,30,23,19
25,27,19,18,31,15,17,17,33,33,19,30,25,27
14,24,29,28,25,14,9,28,28,18,25,27,23,27
21,32,31,26,20,20,20,20,25,20,13,26,22,23
37,29,30,28,36,8,10,33,37,29,22,38,12,37
35,16,29,31,19,23,33,39,12,21,23,41,15,38
33,31,19,43,23,15,36,26,23,27,20,37,27,29
30,17,35,23,13,26,37,30,31,14,21,15,15,24
24,21,28,29,31,24,33,33,32,18,27,22,17,31
17,21,17,34,23,19,34,27,22,40,18,28,22,29
25,34,36,30,27,35,35,36,28,35,33,27,22,32
27,26,31,28,31,35,21,17,24,30,30,35,26,28
37,27,24,25,32,38,38,20,19,17,25,17,28,18
43,22,39,41,45,26,24,28,27,26,25,28,19,25
38,35,32,20,29,30,29,25,27,28,21,37,38,23
42,31,23,34,44,25,37,34,34,24,29,31,23,39
36,34,28,37,24,34,38,28,31,36,35,30,24,34
24,31,43,40,43,25,31,37,34,43,29,43,34,25
33,35,37,33,28,27,37,35,27,27,33,29,32,32
30,25,35,35,33,42,42,34,26,39,26,42,37,27
32,22,43,27,39,28,39,18,34,42,46,47,25,32
39,42,22,19,41,34,36,30,35,38,30,41,21,35
26,24,40,42,43,35,36,24,29,32,43,27,45,37
26,32,30,34,24,24,34,38,25,33,25,37,28,30
33,38,39,27,42,32,33,21,28,24,36,27,31,35
25,40,37,31,39,37,36,26,39,32,38,38,31,37
37,28,29,49,35,32,43,39,48,30,34,29,49,32
30,32,24,34,32,46,29,26,40,41,31,34,43,41
32,49,36,39,32,29,36,30,30,28,46,38,45,27
44,46,48,31,47,31,39,40,37,36,43,48,29,43
31,24,24,26,33,28,24,24,34,32,33,30,43,24
45,34,28,35,46,41,34,29,44,46,30,29,32,43
31,32,50,29,37,54,30,38,25,31,36,35,47,38
30,34,38,40,39,31,44,37,31,41,32,46,43,34
39,36,30,43,36,39,39,25,23,35,35,44,27,54
37,37,42,42,30,26,34,28,32,41,25,28,27,28
28,34,44,43,38,30,38,41,35,43,31,36,37,28
