17,21,17,34,23,19,34,27,22
25,34,36,30,27,35,35,36,28
27,26,31,28,31,35,21,17,24
37,27,24,25,32,38,38,20,19
43,22,39,41,45,26,24,28,27
38,35,32,20,29,30,29,25,27
42,31,23,34,44,25,37,34,34
36,34,28,37,24,34,38,28,31
24,31,43,40,43,25,31,37,34
33,35,37,33,28,27,37,35,27
30,25,35,35,33,42,42,34,26
32,22,43,27,39,28,39,18,34
39,42,22,19,41,34,36,30,35
26,24,40,42,43,35,36,24,29
26,32,30,34,24,24,34,38,25
33,38,39,27,42,32,33,21,28
25,40,37,31,39,37,36,26,39
37,28,29,49,35,32,43,39,48
30,32,24,34,32,46,29,26,40
32,49,36,39,32,29,36,30,30
44,46,48,31,47,31,39,40,37
31,24,24,26,33,28,24,24,34
45,34,28,35,46,41,34,29,44
31,32,50,29,37,54,30,38,25
30,34,38,40,39,31,44,37,31
39,36,30,43,36,39,39,25,23
37,37,42,42,30,26,34,28,32
28,34,44,43,38,30,38,41,35
47,39,47,44,41,32,42,49,32
44,42,44,45,43,35,43,36,32
28,39,30,25,29,37,42,31,34
46,45,50,37,48,45,50,46,37
30,53,30,53,28,53,43,48,35
42,29,42,40,38,26,36,43,28
43,31,46,48,49,27,35,51,27
27,49,23,44,33,46,30,42,44
31,39,39,43,38,45,44,38,32
38,26,44,46,33,24,31,26,41
28,32,36,29,46,53,37,26,48
28,42,28,35,28,32,57,30,37
32,36,48,45,32,47,28,47,28
32,36,35,44,31,44,27,38,44
33,50,32,28,34,43,28,40,49
45,31,45,29,45,46,45,40,35
43,47,30,31,39,34,27,31,35
39,43,31,28,29,32,30,47,32
43,53,50,44,41,43,37,40,45
28,41,32,28,31,36,42,35,31
35,50,47,39,33,42,30,37,39
36,31,48,48,46,40,43,28,48
44,40,26,36,43,33,39,35,36
34,45,31,38,25,28,46,43,34
42,37,44,44,37,31,32,35,32
30,29,42,30,44,32,33,27,43
31,46,30,57,35,35,48,48,39
30,32,35,50,38,46,43,32,37
35,58,38,26,24,44,35,25,26
43,33,44,44,30,41,29,42,31
47,45,39,41,31,46,45,27,45
35,53,54,24,33,29,32,51,42
47,42,44,40,40,46,44,41,45
34,39,41,39,46,40,38,45,43
45,49,44,40,38,41,45,54,41
35,37,29,42,28,34,36,32,48
43,35,45,50,33,47,33,40,45
28,42,50,27,43,38,30,42,43
31,50,36,38,53,49,35,50,38
44,45,32,44,39,46,33,36,34
43,50,48,31,48,46,35,46,34
52,38,47,47,51,52,50,42,47
55,51,46,37,40,50,53,38,44
43,42,43,41,41,50,46,33,50
44,30,42,46,60,47,59,51,42
49,42,56,52,45,51,42,40,58
50,41,47,35,53,40,55,55,37
46,47,54,52,51,42,52,48,51
46,60,48,60,63,43,65,41,53
49,69,60,46,52,51,49,53,39
53,47,56,48,55,46,49,41,52
46,49,60,49,61,58,52,61,48
59,61,49,50,65,48,46,53,50
57,57,42,43,49,57,45,58,58
51,68,62,69,58,52,61,53,56
46,62,49,47,48,59,50,63,47
66,58,68,73,70,70,59,58,73
52,54,45,63,60,60,47,65,51
68,44,67,48,68,57,49,51,62
54,59,58,64,56,55,62,62,58
55,55,57,56,60,54,52,57,59
62,57,65,61,63,53,56,61,60
56,63,47,62,45,50,47,48,72
66,72,66,63,50,65,49,67,68
67,63,67,61,69,54,54,60,65
58,56,74,76,70,69,72,55,53
59,75,65,74,59,82,57,65,57
75,73,56,68,75,69,61,67,67
61,77,74,78,77,79,71,59,78
59,73,62,81,61,66,80,64,58
74,74,66,83,65,69,74,80,85
70,80,76,68,77,65,70,61,80
77,81,77,63,64,62,80,76,70
74,82,77,79,68,68,79,63,68
79,75,67,69,73,75,69,66,73
80,83,71,90,71,81,84,63,60
72,77,78,69,80,64,77,88,73
71,81,89,66,66,72,92,80,77
85,72,87,90,82,74,80,77,79
91,90,88,88,84,74,75,89,69
81,66,78,64,78,86,77,72,83
87,76,90,76,76,94,90,87,96
71,68,86,77,87,85,86,77,72
79,76,71,85,74,73,78,85,75
77,72,84,73,77,88,86,84,76
93,75,87,75,76,74,77,72,81
75,70,70,77,67,83,78,75,69
81,73,94,74,69,82,83,93,84
88,89,87,76,83,83,86,86,84
91,91,85,87,85,91,96,77,88
87,79,73,78,85,72,93,88,78
91,77,89,83,92,86,77,69,72
81,79,101,87,75,100,94,77,74
82,74,86,83,93,78,90,90,89
81,75,76,67,92,97,97,99,71
82,82,92,79,94,95,94,87,92
88,84,79,81,83,88,78,81,79
88,88,77,83,94,77,89,76,76
85,86,74,88,85,87,89,92,88
100,99,89,81,85,85,93,83,92
76,90,89,78,95,82,103,77,98
76,90,87,94,94,77,82,75,81
