31,22,25,32,36,25,43,34
49,52,42,41,37,30,45,29
32,45,32,54,48,28,52,52
29,42,36,33,31,46,36,43
51,44,37,46,32,37,49,49
48,29,40,31,41,47,31,46
37,50,49,35,33,29,34,32
31,39,42,39,22,28,36,46
36,35,37,33,32,35,31,28
38,33,35,36,38,36,34,29
49,41,47,37,49,47,48,42
27,25,26,29,30,25,36,35
25,41,33,26,41,41,40,22
24,33,23,32,40,22,21,35
35,41,24,40,42,36,35,33
33,41,28,33,36,41,36,33
23,40,28,25,38,25,33,39
42,27,43,32,25,43,41,44
47,28,24,40,36,29,39,25
24,35,31,37,36,36,34,19
26,28,35,25,28,35,37,28
28,29,35,30,33,45,25,33
21,17,30,22,19,23,22,28
43,33,36,22,41,28,41,20
42,27,38,28,27,41,30,27
23,24,31,30,25,26,31,18
25,35,29,23,26,31,33,37
33,21,23,35,22,34,23,23
22,22,32,28,24,28,20,24
34,21,25,17,26,26,37,17
14,27,22,26,34,20,23,17
14,14,27,36,11,23,20,29
23,24,32,25,32,39,22,32
28,31,16,13,11,20,12,15
13,28,35,19,30,30,29,37
25,16,28,12,17,12,17,23
27,30,12,26,12,16,13,16
17,20,21,18,16,16,15,16
17,15,21,16,18,21,15,17
19,11,22,15,7,15,27,26
21,18,22,20,9,21,12,7
20,5,12,12,1,17,15,12
21,22,6,19,32,30,5,21
19,22,1,26,26,16,19,28
23,15,22,6,4,4,24,19
18,14,21,12,27,10,18,11
29,26,18,25,12,15,30,25
11,12,4,-2,16,0,7,14
8,1,27,22,10,22,4,13
0,-2,4,-5,-2,-1,13,8
17,14,4,15,21,13,9,9
15,21,13,-2,15,14,18,19
11,8,23,4,6,23,12,8
